Title,First air date,End date,Rating,Genres,Status,Network,Summary
The Witcher,2019-12-20,2023-07-27,8,"[""Drama"", ""Action"", ""Fantasy""]",Running; returning October 2025,Netflix,"Based on the best-selling fantasy series, The Witcher is an epic tale of fate and family. Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts. But when destiny hurtles him toward a powerful sorceress…"
Stranger Things,2016-07-15,2022-07-01,8.5,"[""Drama"", ""Horror"", ""Science-Fiction""]",Running; returning November 2025,Netflix,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces and one strange little girl."
NCIS,2006-09-19,2025-10-21,7.9,"[""Drama"", ""Action"", ""Crime""]",Running,CBS,"(Naval Criminal Investigative Service) is more than just an action drama. With liberal doses of humor, it's a show that focuses on the sometimes complex and always amusing dynamics of a team forced to work together in high-stress situations. Leroy Jethro Gibbs, a former Marine g…"
South Park,1997-08-13,2025-10-15,8.3,"[""Comedy""]",Running,Comedy Central,is an adult comedy animation show centred around 4 children in the small town of south park. Its humour is often dark involving satirical elements and mocking current real-life events.
Grey's Anatomy,2005-09-25,2025-10-23,7.7,"[""Drama"", ""Romance"", ""Medical""]",Running,ABC,"The doctors of Grey Sloan Memorial Hospital deal with life-or-death consequences on a daily basis -- it's in one another that they find comfort, friendship and, at times, more than friendship. Together they're discovering that neither medicine nor relationships can be defined in…"
FBI,2018-09-25,2025-10-20,7.2,"[""Drama"", ""Crime""]",Running,CBS,"is a fast-paced drama about the inner workings of the New York Field Office of the Federal Bureau of Investigation. These first-class agents, including Special Agent Maggie Bell and her partner, Special Agent Omar Adom 'OA' Zidan, bring all their talents, intellect and technical…"
Chicago P.D.,2014-01-08,2025-10-22,8,"[""Drama"", ""Crime""]",Running,NBC,"District 21 of the Chicago Police Department is made up of two distinctly different groups. There are the uniformed cops who patrol the beat and go head to head with the city's street crimes. And there's the Intelligence Unit, the team that combats the city's major offenses - or…"
Invasion,2021-10-22,2025-10-24,6.6,"[""Drama"", ""Science-Fiction"", ""Mystery""]",To Be Determined,Apple TV,Earth is visited by an alien species that threatens humanity's existence. Events unfold in real time through the eyes of five ordinary people across the globe as they struggle to make sense of the chaos unraveling around them.
The Boys,2019-07-26,2024-07-18,8.4,"[""Action"", ""Fantasy"", ""Adult""]",Running; returning 2026,Prime Video,"In a world where superheroes embrace the darker side of their massive celebrity and fame, The Boys centres on a group of vigilantes known informally as ""The Boys,"" who set out to take down corrupt superheroes with no more than blue collar grit and a willingness to fight dirty."
Gen V,2023-09-29,2025-10-22,7.3,"[""Comedy"", ""Action"", ""Science-Fiction""]",To Be Determined,Prime Video,"From the world of The Boys comes Gen V, a thrilling new series set at America's only college for superheroes. These gifted students put their moral boundaries to the test, competing for the university's top ranking, and a chance to join The Seven, Vought International's elite su…"
Slow Horses,2022-04-01,2025-10-22,8.1,"[""Drama"", ""Thriller"", ""Espionage""]",Running,Apple TV,follows the story of a group of British intelligence agents who serve in a dumping ground department of MI5 called Slough House after the big mistakes they've made that resulted in the end of their mainstream careers. This quick-witted spy drama follows a dysfunctional team of M…
Chicago Fire,2012-10-10,2025-10-22,8,"[""Drama"", ""Action""]",Running,NBC,"No job is more stressful, dangerous or exhilarating than those of the Firefighters, Rescue Squad and Paramedics of Chicago Firehouse 51. These are the courageous men and women who forge headfirst into danger when everyone else is running the other way and whose actions make the…"
True Detective,2014-01-12,2024-02-18,8.1,"[""Drama"", ""Crime"", ""Thriller""]",Running; returning 2025,HBO,Touch darkness and darkness touches you back. True Detective centers on troubled cops and the investigations that drive them to the edge. Each season features a new cast and a new case. is an American anthology crime drama television series created and written by Nic Pizzolatto.
Tulsa King,2022-11-13,2025-10-26,7.8,"[""Drama"", ""Comedy"", ""Crime""]",Running,Paramount+,"follows New York mafia capo Dwight ""The General"" Manfredi, just after he is released from prison after 25 years and unceremoniously exiled by his boss to set up shop in Tulsa, Oklahoma. Realizing that his mob family may not have his best interests in mind, Dwight slowly builds a…"
Fallout,2024-04-10,2024-04-10,7.8,"[""Drama"", ""Action"", ""Science-Fiction""]",Running; returning December 2025,Prime Video,"Based on one of the greatest video game series of all time, Fallout is the story of haves and have nots in a world in which there's almost nothing left to have. 200 years after the apocalypse, a peaceful denizen from a cozy fallout shelter is forced to return to the surface and…"
Only Murders in the Building,2021-08-31,2025-10-21,6.8,"[""Comedy"", ""Crime"", ""Mystery""]",Running,Hulu,follows three New Yorkers who find they have a mutual interest in solving true crime – but limit their amateur sleuthing to only murders in their building.
Star Trek: Strange New Worlds,2022-05-05,2025-09-11,7.9,"[""Action"", ""Adventure"", ""Science-Fiction""]",Running; returning 2026,Paramount+,"follows Captain Pike, Science Officer Spock and Number One in the decade before Captain Kirk boarded the U.S.S. Enterprise, as they explore new worlds around the galaxy."
Foundation,2021-09-24,2025-09-12,7.7,"[""Drama"", ""Science-Fiction"", ""Mystery""]",Running; returning 2027,Apple TV,"When revolutionary Dr. Hari Seldon predicts the impending fall of the Empire, he and a band of loyal followers venture to the far reaches of the galaxy to establish The Foundation in an attempt to rebuild and preserve the future of civilization. Enraged by Hari's claims, the rul…"
The Rookie,2018-10-16,2025-05-13,8,"[""Drama"", ""Comedy"", ""Crime""]",Running; returning 2026,ABC,"is inspired by a true story. John Nolan is the oldest rookie in the LAPD. At an age where most are at the peak of their career, Nolan cast aside his comfortable, small town life and moved to L.A. to pursue his dream of being a cop. Now, surrounded by rookies twenty years his jun…"
9-1-1,2018-01-03,2025-10-23,7.5,"[""Drama"", ""Action"", ""Crime""]",Running,ABC,"is a fast-paced exploration into the lives and careers of first responders – cops, paramedics, firefighters – the people who put their lives on the line to save others."
Tracker,2024-02-11,2025-10-26,7.4,"[""Drama""]",Running,CBS,"features lone-wolf survivalist Colter Shaw, who roams the country as a ""reward seeker,"" using his expert tracking skills to help private citizens and law enforcement to solve all manner of mysteries while contending with his own fractured family."
The Simpsons,2005-09-11,2025-10-26,8.1,"[""Comedy"", ""Family""]",Running,FOX,"is the longest running scripted show in US television history. It captures the adventures of Homer, Marge, Maggie, Bart and Lisa who are living in a fictional town called Springfield."
Alien: Earth,2025-08-12,2025-09-23,7.4,"[""Horror"", ""Science-Fiction"", ""Thriller""]",To Be Determined,Hulu,"When the mysterious deep space research vessel USCSS Maginot crash-lands on Earth, Wendy and a ragtag group of tactical soldiers make a fateful discovery that puts them face-to-face with the planet's greatest threat."
Peacemaker,2022-01-13,2025-10-09,7.8,"[""Comedy"", ""Action"", ""Science-Fiction""]",To Be Determined,HBO Max,"After discovering an alternate and more desirable world, Peacemaker is forced to face his traumatic past and take the future into his own hands."
Chicago Med,2015-11-17,2025-10-22,7.8,"[""Drama"", ""Medical""]",Running,NBC,"An emotional thrill ride through the day-to-day chaos of the city's newest state-of-the-art trauma center and into the lives of the courageous doctors, nurses and staff who hold it all together. This is one of those days."
Law & Order: Special Victims Unit,2005-09-20,2025-10-23,7.9,"[""Drama"", ""Crime"", ""Legal""]",Running,NBC,"In the criminal justice system, sexually-based offenses are considered especially heinous. In New York City, the dedicated detectives who investigate these vicious felonies are members of an elite squad known as the Special Victims Unit. These are their stories."
High Potential,2024-09-17,2025-10-21,7.4,"[""Drama"", ""Crime"", ""Mystery""]",Running,ABC,"follows Morgan, a single mom with an exceptional mind, whose unconventional knack for solving crimes leads to an unusual and unstoppable partnership with a by-the-book seasoned detective."
Under the Dome,2013-06-24,2015-09-10,6.5,"[""Drama"", ""Science-Fiction"", ""Thriller""]",Ended,CBS,"is the story of a small town that is suddenly and inexplicably sealed off from the rest of the world by an enormous transparent dome. The town's inhabitants must deal with surviving the post-apocalyptic conditions while searching for answers about the dome, where it came from an…"
Silo,2023-05-05,2025-01-17,8,"[""Drama"", ""Science-Fiction"", ""Mystery""]",Running; returning 2026,Apple TV,"In a ruined and toxic future, thousands live in a giant silo deep underground. After its sheriff breaks a cardinal rule and residents die mysteriously, engineer Juliette starts to uncover shocking secrets and the truth about the silo."
Family Guy,1999-01-31,2025-07-17,7.6,"[""Comedy"", ""Family""]",Running; returning 2026,FOX,"follows Peter Griffin the endearingly ignorant dad, and his hilariously offbeat family of middle-class New Englanders in Quahog, RI. Lois is Peter's wife, a stay-at-home mom with no patience for her family's antics. Then there are their kids: 18-year-old Meg is an outcast at sch…"
The Last of Us,2023-01-15,2025-05-25,8,"[""Drama"", ""Action"", ""Horror""]",Running; returning 2027,HBO,"After a global pandemic destroys civilization, a hardened survivor takes charge of a 14-year-old girl who may be humanity's last hope."
The Morning Show,2019-11-01,2025-10-22,7,"[""Drama""]",Running,Apple TV,"Nominated for three Golden Globes®, this unapologetically candid drama looks at the modern workplace through the lens of the people who help America wake up. Pull back the curtain on early morning TV."
The Walking Dead: Daryl Dixon,2023-09-10,2025-10-19,7.4,"[""Drama"", ""Action"", ""Horror""]",Running; returning 2026,AMC,"is a spinoff series set in The Walking Dead Universe that centers around the eponymous character. Daryl washes ashore in France, raising the ire of a splintered but growing autocratic movement centered in Paris and endangering a young boy at the heart of a benevolent religious m…"
House of the Dragon,2022-08-21,2024-08-04,7.7,"[""Drama"", ""Action"", ""Fantasy""]",Running; returning 2026,HBO,"Set 200 years before the events of Game of Thrones, House of the Dragon tells the history of House Targaryen as they fight through a civil war."
